Yeast_ID,YPD_doublingtime
BBG,-0.90171664
BBH,-0.171183495
BBI,-0.066114004
BBK,-0.000335881
BBL,-0.081697768
BBM,0.120157979
BBP,-0.094294287
BBQ,0.088424897
BBR,0.110502253
BBS,0.031924812
BBT,0.120523933
BBV,0.071268144
BCA,-0.002151478
BCB,-0.073847918
BCC,-0.269293706
BCD,-0.234700718
BCE,-0.01445595
BCF,-0.078070925
BCG,0.023268734
BCH,-0.116542578
BCI,-0.252963537
BCK,-0.062266528
BCL,-0.097088815
BCM,-0.998071209
BCN,-0.232078638
BCP,0.072848364
BCQ,-0.026145674
BCR,0.069438346
BCS,0.020580997
BCT,-0.052357814
BCV,0.143888379
BDA,0.165191305
BDB,0.122609189
BDD,0.068076495
BDE,0.178505517
BDF,0.229808882
BDG,0.161460995
BDH,0.207952957
BDI,0.068337291
BDK,-0.125397097
BDL,-0.102248792
BDM,0.113970398
BDN,-0.145598173
BDQ,0.344965051
BDR,0.023474915
BDS,-0.28702246
BDT,-0.11305576
BDV,-0.076053849
BEA,-0.064481397
BEB,-0.298514133
BEC,-0.542849139
BED,-0.778257051
BEE,-0.089272054
BEH,0.03679839
BEI,0.110220299
BEK,0.102957818
BEM,-0.047876267
BEN,0.028883899
BEP,0.049035756
BEQ,-0.077224229
BER,0.015866651
BES,0.027287428
BET,-0.033108459
BEV,-0.023678779
BFB,0.073284782
BFC,0.005022725
BFD,0.059067867
BFE,0.105396474
BFG,0.00596673
BFH,-0.012113248
BFK,0.052499284
BFM,-0.051062441
BFN,0.059754084
BFP,-0.372255162
BFQ,-0.441693286
BFR,-0.05676098
BFS,-0.129992425
BFT,-0.088085127
BFV,-0.299222633
BGB,-0.076780118
BGC,-0.205139461
BGD,-0.172189855
BGE,0.071860915
BGF,-0.0625594
BGG,-0.053686301
BGH,-0.327188245
BGI,0.064927889
BGK,-0.292851365
BGM,-0.256862299
BGN,0.040409217
BGP,-0.031956693
BGQ,-0.186281749
BGR,-0.014971763
BGS,-0.088000896
BGT,-0.089954311
BGV,-0.011820551
BHA,-0.135710801
BHB,-0.065223593
BHD,-7.77e-05
BHE,0.077285019
BHG,0.142732102
BHH,0.083986151
BHI,0.002113592
BHL,-0.101705531
BHM,0.084179389
BHN,0.139509348
BHP,0.116281033
BHQ,0.163267093
BHR,0.16586188
BHS,0.011890318
BHV,-0.033287211
BIA,-0.061606954
BIB,0.103644447
BIC,-0.118262515
BID,-0.057620113
BIE,-0.028316766
BIF,-0.135914265
BIG,0.118331517
BIH,0.066553765
BII,0.104805949
BIK,-0.040390443
BIM,0.011280976
BIN,0.065976401
BIP,-0.047113627
BIQ,0.030356859
BIR,0.111154524
BIS,-0.003431031
BIT,0.004474149
BKA,0.089477702
BKC,0.021288685
BKE,-0.766235802
BKF,0.134920288
BKG,0.011033081
BKH,0.005598699
BKI,0.029593495
BKK,-0.012405181
BKL,0.087247949
BKM,-0.171424254
BKN,0.120644884
BKP,-0.020492186
BKQ,0.000613044
BKT,0.040261786
BLA,0.039520596
BLB,0.000800536
BLC,-0.060678693
BLD,0.041757983
BLE,0.047537373
BLG,-0.036055974
BLH,-0.442816417
BLI,0.067734116
BLK,0.145619299
BLL,-0.088219369
BLM,0.019295097
BLN,-0.004608736
BLP,-0.026994757
BLQ,0.053940379
BLR,0.117006673
BLS,0.056766417
BLT,0.027828131
BLV,0.036614187
BMA,0.055174505
BMB,-0.011245354
BMC,0.166275872
BMD,0.120859971
BME,-0.057876052
BMF,-0.126521465
BMG,0.101071282
BMH,-0.103376066
BMI,0.121957799
BMK,0.021609889
BML,-0.04166611
BMM,-0.00216652
BMN,-0.263748212
BMQ,-0.273326531
BMR,-0.147974693
BMV,-0.133352253
BNA,-0.209156336
BNB,0.002020499
BNC,-0.064304261
BND,-0.157236392
BNE,0.064911669
BNF,-0.045868873
BNG,-0.089125301
BNH,0.0263356
BNI,-0.013674777
BNK,0.144501183
BNL,0.062168278
BNM,-0.081872906
BNN,0.011343875
BNP,-0.000986834
BNQ,0.066283271
BNR,0.123926416
BNT,0.030185046
BNV,0.066596944
BPA,-0.080498692
BPB,0.074887701
BPC,0.095748076
BPF,-0.039769294
BPG,0.069682581
BPH,0.01250029
BPI,0.048660574
BPK,-0.188576772
BPL,-0.047759316
BPM,0.009941468
BPN,0.008872378
BPP,-0.025951237
BPQ,-0.153893261
BPR,0.020517679
BPT,0.060348696
BPV,0.125691789
BQA,0.144198883
BQB,0.015970979
BQC,0.044122643
BQE,-0.137236208
BQG,-0.012528002
BQH,-0.115620257
BQI,0.07905545
BQM,0.068905959
BQN,0.140461637
BQP,-0.163035402
BQQ,0.152758975
BQR,-0.174143596
BRH,-0.233439822
BRK,0.336932603
BRL,-0.287042799
BRM,-0.228186126
BRP,-0.768276635
BSA,-0.173174311
BSC,0.078063503
BSD,-0.032545958
BSE,-0.090613302
BSG,-0.186551827
BSI,0.002982056
BSK,0.076166682
BSL,0.050283506
BSM,0.062525226
BSN,0.079556857
BSP,-0.062587602
BSR,-0.041711968
BSS,-0.016193908
BST,0.156282435
BTA,-0.117423771
BTB,-0.427536247
BTC,0.110308374
BTD,0.198127533
BTE,0.068259519
BTF,-0.116741955
BTH,0.190762355
BTI,-0.000820896
BTL,0.095967365
BTN,-0.080940115
BTP,-0.124382034
BTR,0.101209112
BTS,-0.00673795
BTT,-0.060315182
BTV,-0.111935977
BVA,-0.545506289
BVB,-0.378298805
BVC,-0.06285997
BVD,-0.104692295
BVE,0.091772157
BVF,0.140963485
BVG,0.022833268
BVH,0.108433931
BVK,0.051299216
BVM,-0.172800953
BVT,-0.179463645
BVV,-0.214002858
CAA,-0.141016342
CAB,-0.188878599
CAC,-0.128264658
CAD,0.096270491
CAE,-0.006533412
CAF,0.058578756
CAH,0.080158037
CAI,0.059250631
CAK,0.077295529
CAL,-0.098982541
CAM,-0.347614958
CAN,-0.240859992
CAP,-0.187899174
CAQ,-0.1074214
CAR,-0.082033145
CAS,-0.1216912
CAT,0.968305655
CAV,0.014547457
CBA,-0.278213251
CBB,-0.140718962
CBC,-0.128784102
CBD,-0.352600456
CBE,0.15717257
CBF,0.056824001
CBG,0.083377513
CBH,-0.045431028
CBI,-0.383098347
CBK,-0.295514021
CBL,0.118132373
CBM,-0.030332566
CBN,-0.432672702
CBR,0.07950632
CCC,0.006072614
CCD,0.071710117
CCE,0.133457459
CCF,0.092508485
CCG,0.004286351
CCH,-0.190792538
CCL,0.003042553
CCM,-0.016074495
CCN,0.087444356
CCP,0.12016954
CCQ,0.121360267
CCR,0.079269816
CCS,0.066743806
CCT,0.03007294
CCV,-0.179720264
CDA,0.079348949
CDB,0.086199356
CDC,0.094845061
CDD,-0.003524547
CDE,0.170235788
CDF,0.143821776
CDG,0.183816523
CDH,0.127566924
CDI,-0.272264245
CDK,0.049935549
CDL,-0.01560592
CDM,0.007369628
CDN,0.0904863
CDP,0.127811166
CDQ,-0.445658041
CDR,0.119272736
CDS,0.052438794
CDT,0.11363199
CDV,-0.132370282
CEA,-0.382344329
CEB,0.001149799
CEC,0.017864295
CED,0.107698689
CEF,-0.07954535
CEG,0.081011715
CEH,-0.113291425
CEI,0.060461788
CEK,0.247523028
CEL,0.028432147
CEM,0.036715488
CEN,0.107245347
CEP,-0.065858777
CEQ,-0.203941658
CER,-0.422576687
CES,-0.154364969
CET,-0.455846606
CEV,0.155240526
CFA,-0.02707243
CFB,-0.017704432
CFC,-1.004944136
CFD,0.126574275
CFE,0.019347676
CFF,-0.50226117
CFG,-0.302291484
CFH,0.082940074
CFM,0.082350846
CFP,-0.056855776
CFR,-0.249789301
CFS,-0.161233806
CFT,-0.181956665
CFV,0.123645995
CGB,-0.098528266
CGC,0.102510677
CGD,0.094134204
CGH,0.242318378
CGI,0.226159704
CGK,0.211132687
CGN,0.341022014
CHC,-0.51219789
CHE,0.000289211
CHF,0.160513448
CHR,0.075149044
CHS,0.132611869
CHT,-0.545863196
CHV,-0.633794908
CIA,0.246061291
CIB,0.156974516
CIC,0.164341619
CID,-0.173545342
CIE,0.085677295
CIF,0.144570664
CIG,-0.054124015
CIH,0.048311344
CIK,0.133123782
CIL,-0.047959366
CIM,-0.013438999
CIN,0.070453592
CIP,0.219829841
CIQ,0.027961512
CIR,0.103384546
CIV,0.048628025
CKB,0.085175745
CKF,-0.016215505
CKG,-0.023511378
CKH,0.001609889
CKI,0.197594602
CKK,-0.041775646
CKL,0.024645625
CKP,-0.013575863
CKQ,0.19078225
CKR,0.087210278
CKS,-0.033783849
CKT,-0.073741756
CKV,0.1665841
CLA,-0.03317176
CLB,-0.048454445
CLC,-0.004689089
CLG,-0.042310689
CLH,0.09709439
CLK,0.048604089
CLP,-0.665771873
CLQ,0.042104564
CLR,-0.643493817
CLV,0.056013464
CMB,0.059808679
CMC,0.117556683
CMD,0.014942295
CME,-0.012855805
CMF,0.16200555
CMG,0.09667287
CMH,0.039394919
CMI,0.118885951
CMK,0.020005397
CMM,0.134935945
CMN,0.069758458
CMP,0.081499706
CMQ,0.130543586
CMS,-0.20640261
CMT,0.147807319
CNB,0.108522642
CNC,0.041371064
CNE,0.080518589
CNF,-0.113812352
CNG,-0.068519944
CNH,-0.048406154
CNI,-0.079867856
CNK,0.138141308
CNL,-0.112304139
CNM,0.098985025
CNN,-0.069886609
CNP,0.002497559
CNQ,0.52322464
CNR,0.036620299
CNS,0.062358217
CNT,0.129229377
CNV,0.118987201
CPA,0.090894016
CPB,0.041167358
CPC,0.027584596
CPD,0.168056444
CPE,-0.237244999
CPF,0.121898317
CPG,0.091318564
CPK,0.08350566
CPL,0.011876535
CPM,-0.046361164
CPN,-0.043407397
CPQ,-0.075169638
CPR,0.067114092
CPS,-0.11650132
CPT,-0.006955417
CQA,-0.148897495
CQC,0.020594795
CQD,0.091073877
CQE,0.049669719
CQF,0.046589396
CQG,0.074990947
CQH,0.038183655
CQI,0.031355797
CQK,0.094220958
CQL,0.110114411
CQM,0.095944538
CQN,0.131398285
CQR,0.016055658
CQS,0.107932707
CQT,0.086736662
CQV,0.057178917
CRA,-0.085947371
CRB,0.022105404
CRC,0.041698698
CRD,0.174884191
CRE,0.118616527
CRG,0.071000022
CRH,-0.054520266
CRI,0.025229942
CRK,0.011967003
